input_size,iterative_time_sec,recursive_time_sec
100,1.037275004023286e-06,2.353094999421046e-06
500,1.996770004097925e-06,2.492974994652286e-06
1000,2.865755000129866e-06,3.224415000886438e-06
5000,1.591199998074444e-06,2.85566999934872e-06
10000,2.881260006120101e-06,3.1857900012255413e-06
50000,2.57470500571344e-06,2.774214995611146e-06
100000,3.252339996606679e-06,3.6663749995113904e-06
500000,2.946280004039181e-06,3.374579997057481e-06
1000000,4.528460002006795e-06,4.366389996448561e-06
